Sample           Filename      Group        Replicate
GSM1854182_IPF_1.CEL    GSM1854182     IPF               1
GSM1854183_IPF_2.CEL    GSM1854183     IPF               2
GSM1854184_IPF_3.CEL    GSM1854184     IPF               3
GSM1854185_IPF_4.CEL    GSM1854185     IPF               4
GSM1854186_IPF_5.CEL    GSM1854186     IPF               5
GSM1854187_NC_1.CEL    GSM1854187    NC               1
GSM1854188_NC_2.CEL    GSM1854188     NC                   2
GSM1854189_NC_3.CEL    GSM1854189     NC                   3
