Sample	Filename	Group	Replicate
GSM1302033_Agilent_251485063785_S01_GE2_107_Sep09_1_4.txt	GSM1302033	IPF	1
GSM1302034_Agilent_251485063800_S01_GE2_107_Sep09_1_2.txt	GSM1302034	IPF	2
GSM1302035_Agilent_251485063784_S01_GE2_107_Sep09_1_2.txt	GSM1302035	IPF	3
GSM1302036_Agilent_251485063800_S01_GE2_107_Sep09_1_4.txt	GSM1302036	IPF	4
GSM1302037_Agilent_251485063886_S01_GE2_107_Sep09_1_4.txt	GSM1302037	IPF	5
GSM1302038_Agilent_251485063787_S01_GE2_107_Sep09_1_1.txt	GSM1302038	IPF	6
GSM1302039_Agilent_251485063802_S01_GE2_107_Sep09_1_2.txt	GSM1302039	IPF	7
GSM1302040_Agilent_251485053914_S01_GE2_107_Sep09_1_3.txt	GSM1302040	IPF	8
GSM1302041_Agilent_251485063803_S01_GE2_107_Sep09_1_1.txt	GSM1302041	IPF	9
GSM1302042_Agilent_251485053914_S01_GE2_107_Sep09_1_4.txt	GSM1302042	IPF	10
GSM1302043_Agilent_251485063886_S01_GE2_107_Sep09_1_1.txt	GSM1302043	IPF	11
GSM1302044_Agilent_251485053915_S01_GE2_107_Sep09_1_1.txt	GSM1302044	IPF	12
GSM1302045_Agilent_251485063787_S01_GE2_107_Sep09_1_4.txt	GSM1302045	IPF	13
GSM1302046_Agilent_251485063886_S01_GE2_107_Sep09_1_3.txt	GSM1302046	IPF	14
GSM1302047_Agilent_251485063785_S01_GE2_107_Sep09_1_2.txt	GSM1302047	Control	1
GSM1302048_Agilent_251485053915_S01_GE2_107_Sep09_1_3.txt	GSM1302048	IPF	15
GSM1302049_Agilent_251485063785_S01_GE2_107_Sep09_1_1.txt	GSM1302049	IPF	16
GSM1302050_Agilent_251485063801_S01_GE2_107_Sep09_1_4.txt	GSM1302050	IPF	17
GSM1302051_Agilent_251485063803_S01_GE2_107_Sep09_1_4.txt	GSM1302051	IPF	18
GSM1302052_Agilent_251485063802_S01_GE2_107_Sep09_1_1.txt	GSM1302052	IPF	19
GSM1302053_Agilent_251485063803_S01_GE2_107_Sep09_1_3.txt	GSM1302053	IPF	20
GSM1302054_Agilent_251485053915_S01_GE2_107_Sep09_1_4.txt	GSM1302054	Control	2
GSM1302055_Agilent_251485063783_S01_GE2_107_Sep09_1_1.txt	GSM1302055	IPF	21
GSM1302056_Agilent_251485063799_S01_GE2_107_Sep09_1_1.txt	GSM1302056	Control	3
GSM1302057_Agilent_251485053914_S01_GE2_107_Sep09_1_2.txt	GSM1302057	Control	4
GSM1302058_Agilent_251485063799_S01_GE2_107_Sep09_1_3.txt	GSM1302058	IPF	22
GSM1302059_Agilent_251485063801_S01_GE2_107_Sep09_1_3.txt	GSM1302059	IPF	23
GSM1302060_Agilent_251485063799_S01_GE2_107_Sep09_1_2.txt	GSM1302060	IPF	24
GSM1302061_Agilent_251485063886_S01_GE2_107_Sep09_1_2.txt	GSM1302061	IPF	25
GSM1302062_Agilent_251485063783_S01_GE2_107_Sep09_1_4.txt	GSM1302062	IPF	26
GSM1302063_Agilent_251485063803_S01_GE2_107_Sep09_1_2.txt	GSM1302063	IPF	27
GSM1302064_Agilent_251485063787_S01_GE2_107_Sep09_1_2.txt	GSM1302064	IPF	28
GSM1302065_Agilent_251485063799_S01_GE2_107_Sep09_1_4.txt	GSM1302065	IPF	29
GSM1302066_Agilent_251485063801_S01_GE2_107_Sep09_1_2.txt	GSM1302066	IPF	30
GSM1302067_Agilent_251485063801_S01_GE2_107_Sep09_1_1.txt	GSM1302067	IPF	31
GSM1302068_Agilent_251485063784_S01_GE2_107_Sep09_1_1.txt	GSM1302068	IPF	32
GSM1302069_Agilent_251485063802_S01_GE2_107_Sep09_1_3.txt	GSM1302069	IPF	33
GSM1302070_Agilent_251485063800_S01_GE2_107_Sep09_1_3.txt	GSM1302070	Control	5
GSM1302071_Agilent_251485063783_S01_GE2_107_Sep09_1_3.txt	GSM1302071	IPF	34
GSM1302072_Agilent_251485063802_S01_GE2_107_Sep09_1_4.txt	GSM1302072	Control	6
GSM1302073_Agilent_251485063784_S01_GE2_107_Sep09_1_3.txt	GSM1302073	Control	7
GSM1302074_Agilent_251485063784_S01_GE2_107_Sep09_1_4.txt	GSM1302074	IPF	35
GSM1302075_Agilent_251485063787_S01_GE2_107_Sep09_1_3.txt	GSM1302075	Control	8
GSM1302076_Agilent_251485063785_S01_GE2_107_Sep09_1_3.txt	GSM1302076	IPF	36
GSM1302077_Agilent_251485053915_S01_GE2_107_Sep09_1_2.txt	GSM1302077	IPF	37
GSM1302078_Agilent_251485063800_S01_GE2_107_Sep09_1_1.txt	GSM1302078	IPF	38
GSM1302079_Agilent_251485063783_S01_GE2_107_Sep09_1_2.txt	GSM1302079	IPF	39
GSM1302080_Agilent_251485053914_S01_GE2_107_Sep09_1_1.txt	GSM1302080	IPF	40
