ProbeName	SystematicName	logFC	AveExpr	t	P.Value	adj.P.Val	B	GSM678128	GSM678129	GSM678130	GSM678131	GSM678132	GSM678133	GSM678134	GSM678135	GSM678137	GSM678138	GSM678139	GSM678140	GSM678141	GSM678142	GSM678143	GSM678144	GSM678146	GSM678147	GSM678148	GSM678149	GSM678150	GSM678151	GSM678152
A_25_P00013922	hsa-miR-30b	-1.08222494254607	9.65178287489345	-4.67916578079732	9.68171018512724e-05	0.0147528974974764	1.42699836210023	10.4437024079941	9.64520233636748	9.37777066906689	9.92508363191588	9.31686207868454	8.56069284703188	9.4593754120739	9.34460799989014	8.85843305761327	8.61306647099765	8.13883809082019	7.92672939121851	9.9944580711908	10.610855717157	10.6958730523028	9.79822700917974	10.0518838223837	10.2794491197004	10.5076076852362	10.2798574892631	10.5065918832251	10.0307546650304	9.62508321420571
A_25_P00010629	hsa-miR-203	-1.02190369467477	6.70333293467881	-5.20759061440044	2.55871499627397e-05	0.00760711918892242	2.66092818141993	7.38332877524191	6.6699713050486	6.27869392656372	7.0716159385358	5.50955759836205	6.50692053930904	5.74846320481995	6.71513531429277	5.49846155716139	5.78394060153833	5.56758709072222	5.84148076902518	7.10542427977794	6.96273804576806	7.635265379767	7.25944951095827	7.13900195229546	7.40800730934221	7.45812570619961	7.13278277200849	7.31977162423582	7.32725467463085	6.85367962200797
A_25_P00012317	hsa-miR-376c	1.08551195035919	6.85571158879919	4.088267726549	0.000430709016648476	0.0290969664431575	0.0432191546442482	8.86336006086139	7.22319240962692	7.79717416956939	7.61980293549936	7.94884065452423	7.2909211612456	7.85164953626169	6.44948974778775	8.03973043387982	7.20274963824244	5.96054820770755	6.25097478201077	5.52747080204701	6.2855481164879	6.07756049020944	7.22476751877685	6.41112998295842	6.16281404817363	6.54931496952569	6.02636120990407	6.53569820090096	6.41302705315602	5.96924041302439
A_25_P00011981	hsa-let-7d	-0.540882655028016	11.224140140339	-5.08345185743217	3.49385775404172e-05	0.00856723851513622	2.3722893957726	11.2705854897395	10.8091182332106	11.0680629926064	11.1395657212741	10.7568988826177	11.3142938076502	10.5649756109133	11.3801507298029	11.0265761402147	10.7436027567811	10.6288675773213	10.8827876348188	11.4283504898181	11.0741123984374	11.7261191175153	11.1881999623912	11.4322903287996	11.6884762525169	11.3820077532495	11.8988007931482	11.5378991824911	11.7391325185088	11.47434885397
A_25_P00010382	hsa-miR-127-3p	0.986087792138322	6.72449318762036	7.09090386473839	2.69119180531112e-07	0.000606030289522606	6.84032941583961	7.60978023235159	6.61989084399113	6.95153447077252	6.97008294200383	7.07552102438838	7.61808163475913	7.17860975778599	6.82428773512711	7.79288218949694	7.21065001775084	7.50309428890209	6.99878957334342	5.69223146733405	5.72234626040774	6.09513735488457	6.19833698130796	6.58582749955176	6.66847076269688	5.96083616034433	6.46734374997056	6.17530457160744	6.50985070614764	6.23445309034238
A_25_P00010113	hsa-miR-487b	0.54319315734746	6.11070824683427	3.85625339546916	0.000771257822959912	0.038665917295593	-0.495445501108691	7.54705110060928	6.20344343653466	6.56490714407505	6.33767354565496	5.97014455036223	6.46508307056015	6.3419066941791	6.03471597253459	6.63258345957105	6.09555374333944	6.24448218823976	6.00841043764949	5.63212186053789	5.39839459832858	5.53724974928498	6.03814103424378	5.76135752175037	5.93128344082908	5.71509872013812	6.06391516977699	5.92408655407199	5.9346732423715	6.16401244254522
A_25_P00010629	hsa-miR-203	-0.952643628299715	6.74671253148792	-5.0064270497094	4.24056862592432e-05	0.00899692797168496	2.19273215563598	7.46730503433015	6.62280722625948	6.59390696641443	7.1678016425118	5.54522605201265	6.39480698037935	6.05479525821862	6.69856933962579	5.63276522994109	5.83858540331278	5.72823810785217	5.74839709632015	7.20587258112202	7.43835600187143	7.55632178704492	7.29408429304778	6.90993615176295	7.32080121942065	7.37281373781459	7.17397726035851	7.31253754650191	7.23016477197985	6.86631853611911
A_25_P00010682	hsa-miR-30d	-1.04792702598045	9.31489927790282	-6.79678184681798	5.33933653459807e-07	0.000882203818268837	6.21852571001566	9.41801303803324	8.83723187488324	8.82499992344678	8.79247172441088	8.30002242998921	8.5575687018488	8.82732851120407	9.40290089015877	8.67420199720944	8.81310253285272	8.91205000647516	8.40470981608595	9.97834332361147	9.91121496561032	10.4717810631344	9.02053727073911	9.43124248079113	9.91258381313097	9.46591619470562	10.4099897672442	9.88694704869201	9.75886075536877	10.2306652621386
A_25_P00013922	hsa-miR-30b	-1.09160401314475	9.67395173008916	-4.92202898137077	5.24482807048582e-05	0.00964424486862037	1.99563869274955	10.4163596192941	9.68113703421153	9.4882799382703	9.99536090156519	9.28318101361995	8.54459081171959	9.36709531177646	9.17328790174681	9.0019609794257	8.64898791742933	8.22410470592707	7.99821681151403	10.0269836901651	10.5822554314334	10.7119734684833	9.88631073068769	9.99970644752744	10.2043516868889	10.3187698120128	10.2889989009146	10.6844589143608	10.181096867081	9.7934208959956
A_25_P00014342	hsa-miR-654-3p	0.561650680908461	5.94510294511758	4.59717381353024	0.000119112947534477	0.0150684256266652	1.23472362054669	7.30714241576511	5.88693620834497	6.00808870435562	6.1124984105826	6.26878605001686	6.19626673252802	6.14275563757745	5.96693968550007	6.5394061685273	5.88631959989661	6.26398295018791	5.98549929464663	5.61778660628844	5.39832852877308	5.67840631968089	5.7628739663761	5.51495861471503	5.77058552883233	5.42225490415378	5.80076928851789	5.76101626011365	5.83580363865909	5.60996222366501
