ProbeName	GeneName	logFC	AveExpr	t	P.Value	adj.P.Val	B	GSM534516	GSM534517	GSM534518	GSM534519	GSM534520	GSM534521	GSM534522	GSM534523	GSM534525	GSM534526	GSM534528	GSM534529	GSM534531	GSM534539	GSM534540
A_25_P00012013	hsa-miR-29a	-2.08332314030331	10.4295534606182	-4.00047092332126	0.00091689933597523	0.0463311118206303	-0.65586201817013	11.2786040265868	10.1292367188831	11.868384271589	11.816577643517	12.046994020614	12.9374873876113	7.06211932883359	10.0522287794257	9.61866206379906	10.5793965501318	10.129055821832	10.0264288422853	8.20488657562193	10.4539931854313	10.2392466931114
A_25_P00012013	hsa-miR-29a	-2.0759593701868	10.4162494318376	-3.9458727863068	0.00103243355834995	0.0494563655392049	-0.769349608159662	11.2127852100135	10.0504308475914	11.7668582689546	11.8450561247761	12.1676297728875	12.9281900994749	7.57620451012403	9.6024668922041	10.4191213889439	10.9559128867684	10.3867949110899	8.80923897288289	8.06522483059858	9.96980479175961	10.4880219694944
A_25_P00010205	hsa-miR-22	-3.09796600439083	11.162572804784	-4.82817651434562	0.000154775948769897	0.0139183499086737	1.05038189227135	13.2019937358801	12.860198715241	12.8646282572328	12.1963913028787	12.938121467696	14.0667809655825	6.98735458846181	11.0056140334599	12.045386349367	10.1076130349736	10.8736833113629	8.46701651798722	8.14499006476944	10.6405875614899	11.0382321653773
A_25_P00012324	hsa-miR-371-5p	3.07553342365625	9.95506348126513	4.40871054607174	0.000379063435344231	0.0257763136034077	0.190519347018324	9.32701824519889	9.24081724282861	6.96800988895006	7.98985839919991	8.94551095237444	6.18724583387636	14.4226332934883	10.4369720424987	9.17171144933436	11.6678292356839	9.35657477856612	12.0289037668368	11.9515850336147	10.9415563100774	10.6897257464484
A_25_P00012505	hsa-miR-494	-2.7621267067475	10.9336873197942	-4.13465075967119	0.000685242152454416	0.0383678334393704	-0.377100452257257	12.6626682979168	13.4741193998767	12.2334839016431	10.432985293862	14.1755135151282	12.5670096546292	6.53143042004428	9.98154746455246	9.74282063504752	9.94834484932323	11.0060563464768	8.49413337402095	10.4587242027335	11.4796233629612	10.8168490786967
A_25_P00012242	hsa-miR-186	1.50789780396887	9.01711043054321	4.53053983582793	0.000291799714255962	0.0208400421622806	0.441603218839035	8.70748638808791	8.25511312230388	8.66905244842445	8.43332125840486	7.55579200448992	7.0534652672603	9.40460672846029	9.58408452856747	9.39972777701156	10.6744610524918	9.38081486909839	8.84850876817228	9.24971525691421	9.28706930930206	10.7534376791587
A_25_P00012300	hsa-miR-30e	-1.2068535115687	9.55507193712321	-4.40226139220626	0.000384361396709492	0.0259210504465911	0.177202717148675	10.2924631921079	10.8924291542836	10.1113805912093	9.60443852156654	11.2290837054553	9.54530909976387	9.31887692630939	9.12050090659405	9.34012631280765	8.60558251728992	9.36235745148905	9.23917958840885	8.36633255051928	8.88109166154989	9.41692687749352
A_25_P00013453	hsa-miR-150*	3.57263030987182	10.8945143152254	7.65919142275289	6.32590094566883e-07	0.00049677707738753	6.27465374228794	9.58714468193644	9.36772079803033	7.81791333588676	8.83488504238125	9.48205050043439	7.41590241714457	13.6215489386244	11.8314044698376	12.0547797809998	12.532110054438	10.9074807347215	14.0702703880832	12.1199066143506	12.3292741388491	11.4453228326629
A_25_P00012317	hsa-miR-376c	-1.50348529804171	8.37687372724693	-4.15688700742763	0.000653003424071674	0.0372378129327185	-0.330940402755372	8.49220294674915	8.2515998217709	10.8714933123275	9.51545629144839	8.79721973515487	9.74581732898086	7.21222720580559	6.68373750414728	7.89969583281076	7.84415277974401	7.8408875686792	8.23090678621149	7.85198461826691	8.14481631780704	8.27090785879989
A_25_P00012192	hsa-miR-145	-1.6384223935938	9.87277775426861	-3.94711150415856	0.00102965651746154	0.0494563655392049	-0.766774722479192	11.7422311526738	11.0327569756293	11.4942344031329	11.184651386003	9.45601218065216	10.2251010444582	8.15361126293179	8.60703875676344	9.51874405636498	10.2120029863837	10.0611345212201	7.98583435107895	8.79994894649301	9.70546018406926	9.91290410617465
A_25_P00014849	hsa-miR-99b	-2.20177155884322	8.82328992902025	-5.68745857364919	2.61329325778159e-05	0.00379640238721362	2.75583489404123	9.36688048066913	11.667531083432	9.80094561390389	9.22843216879293	11.4560923453377	9.34623549382142	7.86418244644487	7.50189999886454	8.39032493269349	7.22892923420495	8.56362686547952	7.76314882749206	8.33786221974956	8.29963515224694	7.53362207217073
A_25_P00014865	hsa-miR-494	-2.73612124618564	10.5749403997457	-4.95774280160384	0.000117745423264791	0.0116686627210627	1.31291835932534	12.0815425075772	13.6635788631574	11.4109778436824	10.4047448661807	14.1312031825888	11.607631621556	7.46693891122429	9.22209839941359	9.88772334834074	9.18013639143711	10.4461251069928	8.7214246274942	9.89652952322284	10.5778760558483	9.92557474746902
A_25_P00012231	hsa-miR-134	2.05599236981165	11.1637211123188	4.37324195246836	0.000409146364680058	0.0267191669121047	0.117252820518138	10.876726856217	10.3519102134475	9.25043321095563	9.32717101922726	10.3524804716344	9.42203237110908	14.0846532274991	11.4034452285498	11.2453754192418	12.1256176856659	11.707418989714	13.5357142136842	11.9306306003768	10.9204280869135	10.921779090546
A_25_P00013325	hsa-miR-187*	2.81278336394997	9.01121584428929	4.29300157264492	0.000486454935347534	0.0300427047994342	-0.0487383071274641	8.56216109795604	8.26200749913781	6.98355377977294	7.14957429432805	7.88708394031954	5.09689434400148	13.4353677195445	9.92906625788662	9.77690129683697	8.32754115244151	9.34835884359213	11.1527604073267	10.5320189319881	9.21045166531924	9.51449643388785
