Sample           Filename      Group          Replicate
GSM806344_LT235441.CEL    GSM806344_LT235441     IPF                   97
GSM806346_LT242161.CEL    GSM806346_LT242161     IPF                   98
GSM806349_LT258372.CEL    GSM806349_LT258372     IPF                   99
GSM806351_LT262773.CEL    GSM806351_LT262773     IPF                   100
GSM806352_LT263234.CEL    GSM806352_LT263234     IPF                   101
GSM806354_LT264690.CEL    GSM806354_LT264690     IPF                   102
GSM806355_LT266377.CEL    GSM806355_LT266377     IPF                   103
GSM806356_LT266817.CEL    GSM806356_LT266817     IPF                   104
GSM806357_LT269381.CEL    GSM806357_LT269381     IPF                   105
GSM806358_LT269763.CEL    GSM806358_LT269763     IPF                   106
GSM806359_LT275526.CEL    GSM806359_LT275526     IPF                   107
GSM806360_LT275655.CEL    GSM806360_LT275655     IPF                   108
GSM806361_LT275751.CEL    GSM806361_LT275751     IPF                   109
GSM806362_LT277811.CEL    GSM806362_LT277811     IPF                   110
GSM806363_LT280851.CEL    GSM806363_LT280851     IPF                   111
GSM806364_LT282601.CEL    GSM806364_LT282601     IPF                   112
GSM806365_LT284326.CEL    GSM806365_LT284326     IPF                   113
GSM806366_LT284489.CEL    GSM806366_LT284489     IPF                   114
GSM806368_LT287196.CEL    GSM806368_LT287196     IPF                   115
GSM806369_LT287909.CEL    GSM806369_LT287909     IPF                   116
GSM806370_LT295133.CEL    GSM806370_LT295133     IPF                   117
GSM806371_NJ004803.CEL    GSM806371_NJ004803     Control                   1
GSM806372_NJ004804.CEL    GSM806372_NJ004804     Control                   2
GSM806373_NJ004808.CEL    GSM806373_NJ004808     Control                   3
GSM806374_NJ004818.CEL    GSM806374_NJ004818     Control                   4
GSM806375_NJ004819.CEL    GSM806375_NJ004819     Control                   5
GSM806376_NJ004824.CEL    GSM806376_NJ004824     Control                   6
GSM806377_NJ004827.CEL    GSM806377_NJ004827     Control                   7
GSM806378_NJ004830.CEL    GSM806378_NJ004830     Control                   8
GSM806379_NJ004840.CEL    GSM806379_NJ004840     Control                   9
GSM806380_NJ004847.CEL    GSM806380_NJ004847     Control                   10
GSM806381_NJ004851.CEL    GSM806381_NJ004851     Control                   11
GSM806382_NJ004860.CEL    GSM806382_NJ004860     Control                   12
GSM806383_NJ004863.CEL    GSM806383_NJ004863     Control                   13
GSM806384_NJ020000.CEL    GSM806384_NJ020000     Control                   14
GSM806385_NJ020001.CEL    GSM806385_NJ020001     Control                   15
GSM806386_NJ020002.CEL    GSM806386_NJ020002     Control                   16
GSM806387_NJ020003.CEL    GSM806387_NJ020003     Control                   17
GSM806388_NJ020005.CEL    GSM806388_NJ020005     Control                   18
GSM806389_NJ020006.CEL    GSM806389_NJ020006     Control                   19
GSM806390_NJ020007.CEL    GSM806390_NJ020007     Control                   20
GSM806391_NJ020011.CEL    GSM806391_NJ020011     Control                   21
GSM806392_NJ020015.CEL    GSM806392_NJ020015     Control                   22
GSM806393_NJ020016.CEL    GSM806393_NJ020016     Control                   23
GSM806394_NJ020017.CEL    GSM806394_NJ020017     Control                   24
GSM806395_NJ020022.CEL    GSM806395_NJ020022     Control                   25
GSM806396_NJ020025.CEL    GSM806396_NJ020025     Control                   26
GSM806397_NJ020026.CEL    GSM806397_NJ020026     Control                   27
GSM806398_NJ020027.CEL    GSM806398_NJ020027     Control                   28
GSM806399_NJ020028.CEL    GSM806399_NJ020028     Control                   29
GSM806400_NJ020032.CEL    GSM806400_NJ020032     Control                   30
GSM806401_NJ020036.CEL    GSM806401_NJ020036     Control                   31
